"filename", "language", "XAML", "C#", "JSON with Comments", "Markdown", "JSON", "XML", "Properties", "comment", "blank", "total"
"d:\Data\EXE\.vite\deps\_metadata.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"d:\Data\EXE\.vite\deps\package.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\Data\EXE\App.xaml", "XAML", 344, 0, 0, 0, 0, 0, 0, 17, 17, 378
"d:\Data\EXE\App.xaml.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Data\EXE\DataService.cs", "C#", 0, 67, 0, 0, 0, 0, 0, 0, 10, 77
"d:\Data\EXE\GamePrince.csproj", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"d:\Data\EXE\GitService.cs", "C#", 0, 176, 0, 0, 0, 0, 0, 9, 23, 208
"d:\Data\EXE\MainWindow.xaml", "XAML", 400, 0, 0, 0, 0, 0, 0, 33, 42, 475
"d:\Data\EXE\MainWindow.xaml.cs", "C#", 0, 1156, 0, 0, 0, 0, 0, 60, 177, 1393
"d:\Data\EXE\MarkdownRenderer.cs", "C#", 0, 91, 0, 0, 0, 0, 0, 3, 12, 106
"d:\Data\EXE\MilestoneEditDialog.xaml", "XAML", 166, 0, 0, 0, 0, 0, 0, 13, 16, 195
"d:\Data\EXE\MilestoneEditDialog.xaml.cs", "C#", 0, 37, 0, 0, 0, 0, 0, 0, 7, 44
"d:\Data\EXE\README.md", "Markdown", 0, 0, 0, 79, 0, 0, 0, 0, 28, 107
"d:\Data\EXE\TaskEditDialog.xaml", "XAML", 242, 0, 0, 0, 0, 0, 0, 15, 21, 278
"d:\Data\EXE\TaskEditDialog.xaml.cs", "C#", 0, 51, 0, 0, 0, 0, 0, 0, 13, 64
"d:\Data\EXE\bin\Debug\net10.0-windows\GamePrince.deps.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 23
"d:\Data\EXE\bin\Debug\net10.0-windows\GamePrince.runtimeconfig.json", "JSON", 0, 0, 0, 0, 19, 0, 0, 0, 0, 19
"d:\Data\EXE\milestones.json", "JSON", 0, 0, 0, 0, 20, 0, 0, 0, 0, 20
"d:\Data\EXE\obj\Debug\net10.0-windows\.NETCoreApp,Version=v10.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Data\EXE\obj\Debug\net10.0-windows\App.g.cs", "C#", 0, 52, 0, 0, 0, 0, 0, 17, 14, 83
"d:\Data\EXE\obj\Debug\net10.0-windows\App.g.i.cs", "C#", 0, 52, 0, 0, 0, 0, 0, 17, 14, 83
"d:\Data\EXE\obj\Debug\net10.0-windows\GamePrince.AssemblyInfo.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 9, 5, 25
"d:\Data\EXE\obj\Debug\net10.0-windows\GamePrince.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"d:\Data\EXE\obj\Debug\net10.0-windows\GamePrince.GlobalUsings.g.cs", "C#", 0, 5, 0, 0, 0, 0, 0, 1, 1, 7
"d:\Data\EXE\obj\Debug\net10.0-windows\GamePrince.sourcelink.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Data\EXE\obj\Debug\net10.0-windows\MainWindow.g.cs", "C#", 0, 466, 0, 0, 0, 0, 0, 14, 171, 651
"d:\Data\EXE\obj\Debug\net10.0-windows\MainWindow.g.i.cs", "C#", 0, 466, 0, 0, 0, 0, 0, 14, 171, 651
"d:\Data\EXE\obj\Debug\net10.0-windows\MilestoneEditDialog.g.cs", "C#", 0, 112, 0, 0, 0, 0, 0, 14, 34, 160
"d:\Data\EXE\obj\Debug\net10.0-windows\MilestoneEditDialog.g.i.cs", "C#", 0, 112, 0, 0, 0, 0, 0, 14, 34, 160
"d:\Data\EXE\obj\Debug\net10.0-windows\TaskEditDialog.g.cs", "C#", 0, 136, 0, 0, 0, 0, 0, 14, 43, 193
"d:\Data\EXE\obj\Debug\net10.0-windows\TaskEditDialog.g.i.cs", "C#", 0, 136, 0, 0, 0, 0, 0, 14, 43, 193
"d:\Data\EXE\obj\GamePrince.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 0, 361, 0, 0, 0, 0, 361
"d:\Data\EXE\obj\GamePrince.csproj.nuget.g.props", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 15
"d:\Data\EXE\obj\GamePrince.csproj.nuget.g.targets", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"d:\Data\EXE\obj\project.assets.json", "JSON", 0, 0, 0, 0, 366, 0, 0, 0, 0, 366
"d:\Data\EXE\planning\implementation_plan.md", "Markdown", 0, 0, 0, 164, 0, 0, 0, 0, 53, 217
"d:\Data\EXE\planning\milestone_implementation_plan.md", "Markdown", 0, 0, 0, 33, 0, 0, 0, 0, 10, 43
"d:\Data\EXE\planning\milestone_implementation_plan_v2.md", "Markdown", 0, 0, 0, 41, 0, 0, 0, 0, 13, 54
"d:\Data\EXE\planning\task.md", "Markdown", 0, 0, 0, 68, 0, 0, 0, 0, 26, 94
"d:\Data\EXE\planning\task_internal.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"d:\Data\EXE\planning\walkthrough.md", "Markdown", 0, 0, 0, 24, 0, 0, 0, 0, 11, 35
"d:\Data\EXE\planning\walkthrough_csharp.md", "Markdown", 0, 0, 0, 32, 0, 0, 0, 0, 9, 41
"d:\Data\EXE\tasks.json", "JSON with Comments", 0, 0, 200, 0, 0, 0, 0, 0, 0, 200
"Total", "-", 1152, 3136, 200, 458, 801, 26, 18, 279, 1028, 7098
